Comune,Cod.Catastale,DISTRETTO
BARCELLONA POZZO DI GOTTO,A638,Barcellona P.G.
MERI',F147,Barcellona P.G.
CASTROREALE,C347,Barcellona P.G.
MONTALBANO ELICONA,F400,Barcellona P.G.
FURNARI,D825,Barcellona P.G.
FALCONE,D474,Barcellona P.G.
TRIPI,L431,Barcellona P.G.
BASICO',A698,Barcellona P.G.
NOVARA DI SICILIA,F951,Barcellona P.G.
FONDACHELLI-FANTINA,D661,Barcellona P.G.
TERME VIGLIATORE,M210,Barcellona P.G.
RODI' MILICI,H479,Barcellona P.G.
MAZZARRA' SANT'ANDREA,F066,Barcellona P.G.
LIPARI,E606,Lipari
LENI,E523,Lipari
MALFA,E855,Lipari
SANTA MARINA SALINA,I254,Lipari
Messina NORD [5° e 6° Circoscrizione],F158,Messina Città
Messina Centro [3° Circoscrizione] 1° AFT,F158,Messina Città
Messina Centro [4° Circoscrizione] 2° AFT,F158,Messina Città
Messina Sud [1°Circoscrizione – 2° Circoscrizione],F158,Messina Città
ROCCALUMERA,H418,Messina
FURCI SICULO,D824,Messina
PAGLIARA,G234,Messina
MANDANICI,E876,Messina
NIZZA DI SICILIA,F901,Messina
FIUMEDINISI,D622,Messina
ALI',A194,Messina
ALI' TERME,A201,Messina
ITALA,E374,Messina
SCALETTA ZANCLEA,I492,Messina
VILLAFRANCA TIRRENA,L950,Messina
SAPONARA,I420,Messina
ROMETTA,H519,Messina
MILAZZO,F206,Milazzo
PACE DEL MELA,G209,Milazzo
SAN FILIPPO DEL MELA,H842,Milazzo
SANTA LUCIA DEL MELA,I220,Milazzo
VALDINA,L561,Milazzo
SPADAFORA,I881,Milazzo
VENETICO,L735,Milazzo
TORREGROTTA,L271,Milazzo
ROCCAVALDINA,H380,Milazzo
MONFORTE SAN GIORGIO,F359,Milazzo
CONDRO',C956,Milazzo
GUALTIERI SICAMINO',E233,Milazzo
SAN PIER NICETO,I084,Milazzo
MISTRETTA,F251,Mistretta
REITANO,H228,Mistretta
CASTEL DI LUCIO,C094,Mistretta
PETTINEO,G522,Mistretta
SANTO STEFANO DI CAMASTRA,I370,Mistretta
TUSA,L478,Mistretta
MOTTA D'AFFERMO,F773,Mistretta
PATTI,G377,Patti
OLIVERI,G036,Patti
MONTAGNAREALE,F395,Patti
SANT'ANGELO DI BROLO,I283,Patti
PIRAINO,G699,Patti
GIOIOSA MAREA,E043,Patti
SAN PIERO PATTI,I086,Patti
FLORESTA,D635,Patti
RACCUJA,H151,Patti
LIBRIZZI,E571,Patti
BROLO,B198,Patti
SINAGRA,I747,Patti
FICARRA,D569,Patti
UCRIA,L482,Patti
SANT'AGATA DI MILITELLO,I199,Sant’Agata di Militello
MILITELLO ROSMARINO,F210,Sant’Agata di Militello
ALCARA LI FUSI,A177,Sant’Agata di Militello
SAN MARCO D'ALUNZIO,H982,Sant’Agata di Militello
TORRENOVA,M286,Sant’Agata di Militello
ACQUEDOLCI,M211,Sant’Agata di Militello
SAN FRATELLO,H850,Sant’Agata di Militello
CARONIA,B804,Sant’Agata di Militello
CAPO D'ORLANDO,B666,Sant’Agata di Militello
CASTELL'UMBERTO,C051,Sant’Agata di Militello
CAPRI LEONE,B695,Sant’Agata di Militello
NASO,F848,Sant’Agata di Militello
SAN SALVATORE DI FITALIA,I147,Sant’Agata di Militello
LONGI,E674,Sant’Agata di Militello
MIRTO,F242,Sant’Agata di Militello
TORTORICI,L308,Sant’Agata di Militello
GALATI MAMERTINO,D861,Sant’Agata di Militello
FRAZZANO',D793,Sant’Agata di Militello
SANT'ALESSIO SICULO,I215,Taormina
LIMINA,E594,Taormina
FORZA D'AGRO',D733,Taormina
ANTILLO,A313,Taormina
SANTA TERESA DI RIVA,I311,Taormina
SAVOCA,I477,Taormina
CASALVECCHIO SICULO,B918,Taormina
ROCCAFIORITA,H405,Taormina
TAORMINA,L042,Taormina
CASTELMOLA,C210,Taormina
LETOJANNI,E555,Taormina
GALLODORO,D885,Taormina
MONGIUFFI MELIA,F368,Taormina
GIARDINI-NAXOS,E014,Taormina
GAGGI,D844,Taormina
GRANITI,E142,Taormina
SANTA DOMENICA VITTORIA,I184,Taormina
MOTTA CAMASTRA,F772,Taormina
FRANCAVILLA DI SICILIA,D765,Taormina
MALVAGNA,E869,Taormina
MOIO ALCANTARA,F277,Taormina
ROCCELLA VALDEMONE,H455,Taormina
CESARO',C568,Taormina
SAN TEODORO,I328,Taormina
